gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
FEMALE,Group C,Associate'S Degree,standard,none,59,66,67
MALE,Group D,Some College,standard,completed,71,61,69
FEMALE,Group D,Some High School,standard,none,76,72,71
FEMALE,Group C,Some College,free/reduced,none,59,62,64
FEMALE,Group E,Some College,free/reduced,completed,42,55,54
MALE,Group A,High School,standard,none,57,43,47
MALE,Group D,Some College,standard,none,88,73,78
FEMALE,Group C,Some College,free/reduced,none,22,39,33
MALE,Group B,Some High School,standard,none,88,84,75
MALE,Group C,Associate'S Degree,free/reduced,none,73,68,66
FEMALE,Group D,Bachelor'S Degree,standard,completed,68,75,81
MALE,Group E,Associate'S Degree,free/reduced,completed,100,100,93
MALE,Group A,Some High School,standard,completed,62,67,69
MALE,Group A,Bachelor'S Degree,standard,none,77,67,68
FEMALE,Group B,Associate'S Degree,standard,completed,59,70,66
MALE,Group D,Bachelor'S Degree,standard,none,54,49,47
MALE,Group D,Some High School,standard,none,62,67,61
FEMALE,Group C,Some College,standard,completed,70,89,88
FEMALE,Group E,High School,free/reduced,completed,66,74,78
MALE,Group B,Some College,free/reduced,none,60,60,60
FEMALE,Group B,Associate'S Degree,standard,completed,61,86,87
MALE,Group D,Associate'S Degree,free/reduced,none,66,62,64
MALE,Group B,Associate'S Degree,free/reduced,completed,82,78,74
FEMALE,Group E,Some College,free/reduced,completed,75,88,85
MALE,Group B,Master'S Degree,free/reduced,none,49,53,52
MALE,Group C,High School,standard,none,52,53,49
FEMALE,Group E,Master'S Degree,standard,none,81,92,91
FEMALE,Group C,Bachelor'S Degree,standard,completed,96,100,100
MALE,Group C,High School,free/reduced,completed,53,51,51
FEMALE,Group B,Master'S Degree,free/reduced,completed,58,76,78
FEMALE,Group B,High School,standard,completed,68,83,78
FEMALE,Group C,Some College,free/reduced,completed,67,75,70
MALE,Group A,High School,standard,completed,72,73,74
MALE,Group E,Some High School,standard,none,94,88,78
FEMALE,Group D,Some College,standard,none,79,86,81
FEMALE,Group C,Associate'S Degree,standard,none,63,67,70
FEMALE,Group C,Bachelor'S Degree,free/reduced,completed,43,51,54
FEMALE,Group C,Master'S Degree,standard,completed,81,91,87
FEMALE,Group B,High School,free/reduced,completed,46,54,58
FEMALE,Group C,Associate'S Degree,standard,completed,71,77,77
FEMALE,Group B,Master'S Degree,free/reduced,completed,52,70,62
FEMALE,Group D,Some High School,standard,completed,97,100,100
MALE,Group C,Master'S Degree,free/reduced,completed,62,68,75
FEMALE,Group C,Some College,free/reduced,none,46,64,66
FEMALE,Group E,High School,standard,none,50,50,47
FEMALE,Group D,Associate'S Degree,standard,none,65,69,70
MALE,Group C,Some High School,free/reduced,completed,45,52,49
MALE,Group C,Associate'S Degree,free/reduced,completed,65,67,65
MALE,Group E,High School,standard,none,80,76,65
MALE,Group D,Some High School,standard,completed,62,66,68
MALE,Group B,Some High School,free/reduced,none,48,52,45
FEMALE,Group C,Bachelor'S Degree,standard,none,77,88,87
FEMALE,Group E,Associate'S Degree,standard,none,66,65,69
MALE,Group D,Some College,standard,completed,76,83,79
FEMALE,Group B,Some High School,standard,none,62,64,66
MALE,Group D,Some College,standard,completed,77,62,62
FEMALE,Group C,Master'S Degree,standard,completed,69,84,85
MALE,Group D,Associate'S Degree,standard,none,61,55,52
MALE,Group C,Some High School,free/reduced,completed,59,69,65
MALE,Group E,High School,free/reduced,none,55,56,51
FEMALE,Group B,Some College,free/reduced,none,45,53,55
FEMALE,Group B,Bachelor'S Degree,free/reduced,none,78,79,76
FEMALE,Group C,Associate'S Degree,standard,completed,67,84,86
FEMALE,Group D,Some College,free/reduced,none,65,81,77
MALE,Group C,Associate'S Degree,standard,none,69,77,69
FEMALE,Group B,Associate'S Degree,standard,none,57,69,68
MALE,Group C,Some College,standard,none,59,41,42
MALE,Group D,Some High School,standard,completed,74,71,78
MALE,Group E,Bachelor'S Degree,standard,none,82,62,62
MALE,Group E,High School,standard,completed,81,80,76
FEMALE,Group B,Some College,free/reduced,none,74,81,76
FEMALE,Group B,Some College,free/reduced,none,58,61,66
MALE,Group D,Some High School,free/reduced,completed,80,79,79
MALE,Group C,Some College,free/reduced,none,35,28,27
FEMALE,Group C,High School,free/reduced,none,42,62,60
MALE,Group C,Associate'S Degree,free/reduced,completed,60,51,56
MALE,Group E,High School,standard,completed,87,91,81
MALE,Group B,Some High School,standard,completed,84,83,75
FEMALE,Group E,Associate'S Degree,free/reduced,completed,83,86,88
FEMALE,Group C,High School,free/reduced,none,34,42,39
MALE,Group B,High School,free/reduced,none,66,77,70
MALE,Group B,Some High School,standard,completed,61,56,56
FEMALE,Group D,High School,standard,completed,56,68,74
MALE,Group B,Associate'S Degree,standard,none,87,85,73
FEMALE,Group C,Some High School,free/reduced,none,55,65,62
MALE,Group D,Some High School,standard,none,86,80,75
FEMALE,Group B,Associate'S Degree,standard,completed,52,66,73
FEMALE,Group E,Master'S Degree,free/reduced,none,45,56,54
FEMALE,Group C,Some College,standard,none,72,72,71
MALE,Group D,High School,standard,none,57,50,54
MALE,Group A,Some High School,free/reduced,none,68,72,64
FEMALE,Group C,Some College,standard,completed,88,95,94
MALE,Group D,Some College,standard,none,76,64,66
MALE,Group C,Associate'S Degree,standard,none,46,43,42
FEMALE,Group B,Bachelor'S Degree,standard,none,67,86,83
MALE,Group E,Some High School,standard,none,92,87,78
MALE,Group C,Bachelor'S Degree,standard,completed,83,82,84
MALE,Group D,Associate'S Degree,standard,none,80,75,77
MALE,Group D,Bachelor'S Degree,free/reduced,none,63,66,67
FEMALE,Group D,Some High School,standard,completed,64,60,74
MALE,Group B,Some College,standard,none,54,52,51
MALE,Group C,Associate'S Degree,standard,none,84,80,80
MALE,Group D,High School,free/reduced,completed,73,68,66
FEMALE,Group E,Bachelor'S Degree,standard,none,80,83,83
FEMALE,Group D,High School,standard,none,56,52,55
MALE,Group E,Some College,standard,none,59,51,43
MALE,Group D,Some High School,standard,none,75,74,69
MALE,Group C,Associate'S Degree,standard,none,85,76,71
MALE,Group E,Associate'S Degree,standard,none,89,76,74
FEMALE,Group B,High School,standard,completed,58,70,68
FEMALE,Group B,High School,standard,none,65,64,62
MALE,Group C,High School,standard,none,68,60,53
MALE,Group A,Some High School,standard,completed,47,49,49
FEMALE,Group D,Some College,free/reduced,none,71,83,83
FEMALE,Group B,Some High School,standard,completed,60,70,70
MALE,Group D,Master'S Degree,standard,none,80,80,72
MALE,Group D,High School,standard,none,54,52,52
FEMALE,Group E,Some College,standard,none,62,73,70
FEMALE,Group C,Associate'S Degree,free/reduced,none,64,73,68
MALE,Group C,Associate'S Degree,standard,completed,78,77,77
FEMALE,Group B,Some College,standard,none,70,75,78
FEMALE,Group C,Master'S Degree,free/reduced,completed,65,81,81
FEMALE,Group C,Some High School,free/reduced,completed,64,79,77
MALE,Group C,Some College,standard,completed,79,79,78
FEMALE,Group C,Some High School,free/reduced,none,44,50,51
FEMALE,Group E,High School,standard,none,99,93,90
MALE,Group D,High School,standard,none,76,73,68
MALE,Group D,Some High School,free/reduced,none,59,42,41
FEMALE,Group C,Bachelor'S Degree,standard,none,63,75,81
FEMALE,Group D,High School,standard,none,69,72,77
FEMALE,Group D,Associate'S Degree,standard,completed,88,92,95
FEMALE,Group E,Some College,free/reduced,none,71,76,70
MALE,Group C,Bachelor'S Degree,standard,none,69,63,61
MALE,Group C,Some College,standard,none,58,49,42
FEMALE,Group D,Associate'S Degree,free/reduced,none,47,53,58
FEMALE,Group D,Some College,standard,none,65,70,71
MALE,Group B,Some College,standard,completed,88,85,76
MALE,Group C,Bachelor'S Degree,standard,none,83,78,73
FEMALE,Group C,Some High School,standard,completed,85,92,93
FEMALE,Group E,High School,standard,completed,59,63,75
FEMALE,Group C,Some High School,free/reduced,none,65,86,80
MALE,Group B,Bachelor'S Degree,free/reduced,none,73,56,57
MALE,Group D,High School,standard,none,53,52,42
MALE,Group D,High School,standard,none,45,48,46
FEMALE,Group D,Bachelor'S Degree,free/reduced,none,73,79,84
FEMALE,Group D,Some College,free/reduced,completed,70,78,78
FEMALE,Group B,Some High School,standard,none,37,46,46
MALE,Group B,Associate'S Degree,standard,completed,81,82,82
MALE,Group E,Associate'S Degree,standard,completed,97,82,88
FEMALE,Group B,Some High School,standard,none,67,89,82
MALE,Group B,Bachelor'S Degree,free/reduced,none,88,75,76
MALE,Group E,Some High School,standard,completed,77,76,77
MALE,Group C,Associate'S Degree,standard,none,76,70,68
MALE,Group D,Some High School,standard,none,86,73,70
MALE,Group C,Some High School,standard,completed,63,60,57
FEMALE,Group E,Bachelor'S Degree,standard,none,65,73,75
MALE,Group D,High School,free/reduced,completed,78,77,80
MALE,Group B,Associate'S Degree,free/reduced,none,67,62,60
MALE,Group A,Some High School,standard,completed,46,41,43
MALE,Group E,Associate'S Degree,standard,completed,71,74,68
MALE,Group C,High School,free/reduced,completed,40,46,50
MALE,Group D,Associate'S Degree,free/reduced,none,90,87,75
MALE,Group A,Some College,free/reduced,completed,81,78,81
MALE,Group D,Some High School,free/reduced,none,56,54,52
FEMALE,Group C,Associate'S Degree,standard,completed,67,84,81
MALE,Group B,Associate'S Degree,standard,none,80,76,64
FEMALE,Group C,Associate'S Degree,standard,completed,74,75,83
MALE,Group A,Some College,standard,none,69,67,69
MALE,Group E,Some College,standard,completed,99,87,81
MALE,Group C,Some High School,standard,none,51,52,44
FEMALE,Group B,Associate'S Degree,free/reduced,none,53,71,67
FEMALE,Group D,High School,free/reduced,none,49,57,52
FEMALE,Group B,Associate'S Degree,standard,none,73,76,80
MALE,Group B,Bachelor'S Degree,standard,none,66,60,57
MALE,Group D,Bachelor'S Degree,standard,completed,67,61,68
FEMALE,Group C,Associate'S Degree,free/reduced,completed,68,67,69
FEMALE,Group C,Bachelor'S Degree,standard,completed,59,64,75
MALE,Group C,High School,standard,none,71,66,65
FEMALE,Group D,Master'S Degree,standard,completed,77,82,91
MALE,Group C,Associate'S Degree,standard,none,83,72,78
MALE,Group B,Bachelor'S Degree,standard,none,63,71,69
FEMALE,Group D,Associate'S Degree,free/reduced,none,56,65,63
FEMALE,Group C,High School,free/reduced,completed,67,79,84
FEMALE,Group E,High School,standard,none,75,86,79
FEMALE,Group C,Some College,standard,none,71,81,80
FEMALE,Group C,Some High School,free/reduced,none,43,53,53
FEMALE,Group C,High School,free/reduced,none,41,46,43
FEMALE,Group C,Some College,standard,none,82,90,94
MALE,Group C,Some College,standard,none,61,61,62
MALE,Group A,Some College,free/reduced,none,28,23,19
MALE,Group C,Associate'S Degree,standard,completed,82,75,77
FEMALE,Group B,Some High School,standard,none,41,55,51
MALE,Group C,High School,standard,none,71,60,61
MALE,Group C,Associate'S Degree,standard,none,47,37,35
MALE,Group E,Associate'S Degree,standard,completed,62,56,53
MALE,Group B,Associate'S Degree,standard,none,90,78,81
FEMALE,Group C,Bachelor'S Degree,standard,none,83,93,95
FEMALE,Group B,Some College,free/reduced,none,61,68,66
MALE,Group D,Some High School,standard,completed,76,70,69
MALE,Group C,Associate'S Degree,standard,none,49,51,43
FEMALE,Group B,Some High School,free/reduced,none,24,38,27
FEMALE,Group D,Some High School,free/reduced,completed,35,55,60
MALE,Group C,High School,free/reduced,none,58,61,52
FEMALE,Group C,High School,standard,none,61,73,63
FEMALE,Group B,High School,standard,completed,69,76,74
MALE,Group D,Associate'S Degree,standard,completed,67,72,67
MALE,Group D,Some College,standard,none,79,73,67
FEMALE,Group C,High School,standard,none,72,80,75
MALE,Group B,Some College,standard,none,62,61,57
FEMALE,Group C,Bachelor'S Degree,standard,completed,77,94,95
MALE,Group D,High School,free/reduced,none,75,74,66
MALE,Group E,Associate'S Degree,standard,none,87,74,76
FEMALE,Group B,Bachelor'S Degree,standard,none,52,65,69
MALE,Group E,Some College,standard,none,66,57,52
FEMALE,Group C,Some College,standard,completed,63,78,80
FEMALE,Group C,Associate'S Degree,standard,none,46,58,57
FEMALE,Group C,Some College,standard,none,59,71,70
FEMALE,Group B,Bachelor'S Degree,standard,none,61,72,70
MALE,Group A,Associate'S Degree,standard,none,63,61,61
FEMALE,Group C,Some College,free/reduced,completed,42,66,69
MALE,Group D,Some College,free/reduced,none,59,62,61
FEMALE,Group D,Some College,standard,none,80,90,89
FEMALE,Group B,High School,standard,none,58,62,59
MALE,Group B,Some High School,standard,completed,85,84,78
FEMALE,Group C,Some College,standard,none,52,58,58
FEMALE,Group D,Some High School,free/reduced,none,27,34,32
MALE,Group C,Some College,standard,none,59,60,58
MALE,Group A,Bachelor'S Degree,free/reduced,completed,49,58,60
MALE,Group C,High School,standard,completed,69,58,53
MALE,Group C,Bachelor'S Degree,free/reduced,none,61,66,61
FEMALE,Group A,Some High School,free/reduced,none,44,64,58
FEMALE,Group D,Some High School,standard,none,73,84,85
MALE,Group E,Some College,standard,none,84,77,71
FEMALE,Group C,Some College,free/reduced,completed,45,73,70
MALE,Group D,Some High School,standard,none,74,74,72
FEMALE,Group D,Some College,standard,completed,82,97,96
FEMALE,Group D,Bachelor'S Degree,standard,none,59,70,73
MALE,Group E,Associate'S Degree,free/reduced,none,46,43,41
FEMALE,Group D,Some High School,standard,none,80,90,82
FEMALE,Group D,Master'S Degree,free/reduced,completed,85,95,100
FEMALE,Group A,Some High School,standard,none,71,83,77
MALE,Group A,Bachelor'S Degree,standard,none,66,64,62
FEMALE,Group B,Associate'S Degree,standard,none,80,86,83
MALE,Group C,Associate'S Degree,standard,completed,87,100,95
MALE,Group C,Master'S Degree,free/reduced,none,79,81,71
FEMALE,Group E,Some High School,free/reduced,none,38,49,45
FEMALE,Group A,Some High School,free/reduced,none,38,43,43
FEMALE,Group E,Some College,standard,none,67,76,75
FEMALE,Group E,Bachelor'S Degree,standard,none,64,73,70
FEMALE,Group C,Associate'S Degree,free/reduced,none,57,78,67
FEMALE,Group D,High School,standard,none,62,64,64
MALE,Group D,Master'S Degree,standard,none,73,70,75
MALE,Group E,Some High School,free/reduced,completed,73,67,59
FEMALE,Group D,Some College,standard,none,77,68,77
MALE,Group E,Some College,standard,none,76,67,67
MALE,Group C,Associate'S Degree,standard,completed,57,54,56
FEMALE,Group C,Some High School,standard,completed,65,74,77
MALE,Group A,High School,free/reduced,none,48,45,41
FEMALE,Group B,High School,free/reduced,none,50,67,63
FEMALE,Group C,Associate'S Degree,standard,none,85,89,95
MALE,Group B,Some High School,standard,none,74,63,57
MALE,Group D,Some High School,standard,none,60,59,54
FEMALE,Group C,Some High School,standard,completed,59,54,67
MALE,Group A,Some College,standard,none,53,43,43
FEMALE,Group A,Some College,free/reduced,none,49,65,55
FEMALE,Group D,High School,standard,completed,88,99,100
FEMALE,Group C,High School,standard,none,54,59,62
FEMALE,Group C,Some High School,standard,none,63,73,68
MALE,Group B,Associate'S Degree,standard,completed,65,65,63
FEMALE,Group B,Associate'S Degree,standard,none,82,80,77
FEMALE,Group D,High School,free/reduced,completed,52,57,56
MALE,Group D,Associate'S Degree,standard,completed,87,84,85
FEMALE,Group D,Master'S Degree,standard,completed,70,71,74
MALE,Group E,Some College,standard,completed,84,83,78
MALE,Group D,Associate'S Degree,standard,none,71,66,60
MALE,Group B,Some High School,standard,completed,63,67,67
FEMALE,Group C,Bachelor'S Degree,free/reduced,completed,51,72,79
MALE,Group E,High School,standard,none,84,73,69
MALE,Group C,Bachelor'S Degree,standard,completed,71,74,68
MALE,Group C,Associate'S Degree,standard,none,74,73,67
MALE,Group D,Some College,standard,none,68,59,62
MALE,Group E,High School,free/reduced,completed,57,56,54
FEMALE,Group C,Associate'S Degree,free/reduced,completed,82,93,93
FEMALE,Group D,High School,standard,completed,57,58,64
FEMALE,Group D,Master'S Degree,free/reduced,completed,47,58,67
FEMALE,Group A,Some High School,standard,completed,59,85,80
MALE,Group B,Some College,free/reduced,none,41,39,34
FEMALE,Group C,Some College,free/reduced,none,62,67,62
MALE,Group C,Bachelor'S Degree,standard,none,86,83,86
MALE,Group C,Some High School,free/reduced,none,69,71,65
MALE,Group A,Some High School,free/reduced,none,65,59,53
MALE,Group C,Some High School,free/reduced,none,68,63,54
MALE,Group C,Associate'S Degree,free/reduced,none,64,66,59
FEMALE,Group C,High School,standard,none,61,72,70
MALE,Group C,High School,standard,none,61,56,55
FEMALE,Group A,Some High School,free/reduced,none,47,59,50
MALE,Group C,Some High School,standard,none,73,66,66
MALE,Group C,Some College,free/reduced,completed,50,48,53
MALE,Group D,Associate'S Degree,standard,none,75,68,64
MALE,Group D,Associate'S Degree,free/reduced,none,75,66,73
MALE,Group C,High School,standard,none,70,56,51
MALE,Group D,Some High School,standard,completed,89,88,82
FEMALE,Group C,Some College,standard,completed,67,81,79
FEMALE,Group D,High School,standard,none,78,81,80
FEMALE,Group A,Some High School,free/reduced,none,59,73,69
FEMALE,Group B,Associate'S Degree,standard,none,73,83,76
MALE,Group A,Some High School,free/reduced,none,79,82,73
FEMALE,Group C,Some High School,standard,completed,67,74,77
MALE,Group D,Some College,free/reduced,none,69,66,60
MALE,Group C,High School,standard,completed,86,81,80
MALE,Group B,High School,standard,none,47,46,42
MALE,Group B,Associate'S Degree,standard,none,81,73,72
FEMALE,Group C,Some College,free/reduced,completed,64,85,85
FEMALE,Group E,Some College,standard,none,100,92,97
FEMALE,Group C,Associate'S Degree,free/reduced,none,65,77,74
MALE,Group C,Some College,free/reduced,none,65,58,49
FEMALE,Group C,Associate'S Degree,free/reduced,none,53,61,62
MALE,Group C,Bachelor'S Degree,free/reduced,none,37,56,47
FEMALE,Group D,Bachelor'S Degree,standard,none,79,89,89
MALE,Group D,Associate'S Degree,free/reduced,none,53,54,48
FEMALE,Group E,Bachelor'S Degree,standard,none,100,100,100
MALE,Group B,High School,standard,completed,72,65,68
MALE,Group C,Bachelor'S Degree,free/reduced,none,53,58,55
MALE,Group B,Some College,free/reduced,none,54,54,45
FEMALE,Group E,Some College,standard,none,71,70,76
FEMALE,Group C,Some College,free/reduced,none,77,90,91
MALE,Group A,Bachelor'S Degree,standard,completed,75,58,62
FEMALE,Group C,Some College,standard,none,84,87,91
FEMALE,Group D,Associate'S Degree,free/reduced,none,26,31,38
MALE,Group A,High School,free/reduced,completed,72,67,65
FEMALE,Group A,High School,free/reduced,completed,77,88,85
MALE,Group C,Some College,standard,none,91,74,76
FEMALE,Group C,Associate'S Degree,standard,completed,83,85,90
FEMALE,Group C,High School,standard,none,63,69,74
FEMALE,Group C,Associate'S Degree,standard,completed,68,86,84
FEMALE,Group D,Some High School,standard,none,59,67,61
FEMALE,Group B,Associate'S Degree,standard,completed,90,90,91
FEMALE,Group D,Bachelor'S Degree,standard,completed,71,76,83
MALE,Group E,Bachelor'S Degree,standard,completed,76,62,66
MALE,Group D,Associate'S Degree,standard,none,80,68,72
FEMALE,Group D,Master'S Degree,standard,none,55,64,70
MALE,Group E,Associate'S Degree,standard,none,76,71,67
MALE,Group B,High School,standard,completed,73,71,68
FEMALE,Group D,Associate'S Degree,free/reduced,none,52,59,56
MALE,Group C,Some College,free/reduced,none,68,68,61
MALE,Group A,High School,standard,none,59,52,46
FEMALE,Group B,Associate'S Degree,standard,none,49,52,54
MALE,Group C,High School,standard,none,70,74,71
MALE,Group D,Some College,free/reduced,none,61,47,56
FEMALE,Group C,Associate'S Degree,free/reduced,none,60,75,74
MALE,Group B,Some High School,standard,completed,64,53,57
MALE,Group A,Associate'S Degree,free/reduced,completed,79,82,82
FEMALE,Group A,Associate'S Degree,free/reduced,none,65,85,76
FEMALE,Group C,Associate'S Degree,standard,none,64,64,70
FEMALE,Group C,Some College,standard,none,83,83,90
FEMALE,Group C,Bachelor'S Degree,standard,none,81,88,90
FEMALE,Group B,High School,standard,none,54,64,68
MALE,Group D,High School,standard,completed,68,64,66
FEMALE,Group C,Some College,standard,none,54,48,52
FEMALE,Group D,Some College,free/reduced,completed,59,78,76
FEMALE,Group B,Some High School,standard,none,66,69,68
MALE,Group E,Some College,standard,none,76,71,72
FEMALE,Group D,Master'S Degree,standard,none,74,79,82
FEMALE,Group B,Associate'S Degree,standard,completed,94,87,92
MALE,Group C,Some College,free/reduced,none,63,61,54
FEMALE,Group E,Associate'S Degree,standard,completed,95,89,92
